,type,city,latitude,longitude,price_range,rating,votes,photo_count,delivery,area,chain_restaurant,indian,asian,western,middle_eastern,fast_food,others,highlights_count
56,Quick Bites,Agra,27.2107501,78.0055767,2,4.1,279,18,1,240928,0,1,0,0,0,0,0,8
57,Fine Dining,Agra,27.16114959,78.04399297,4,4.4,353,154,0,240928,0,1,0,0,0,0,0,16
58,Casual Dining,Agra,27.20662362,77.97196258,3,3.9,117,169,1,240928,0,1,1,0,0,1,0,16
59,Casual Dining,Agra,27.15417542,78.05913118,4,4.7,252,235,1,240928,0,1,1,1,0,0,0,14
60,Quick Bites,Agra,27.203226,77.952817,1,4.1,197,50,1,240928,0,0,0,0,0,1,1,5
61,Casual Dining,Agra,27.1589454,78.04493409,2,4.0,324,146,1,240928,0,1,0,0,0,1,0,8
62,Casual Dining,Agra,27.2095398,78.01884,2,4.1,274,17,1,240928,0,1,0,0,0,0,0,6
63,Casual Dining,Agra,27.2084218,77.9787584,1,4.1,162,2,1,240928,0,1,0,0,0,0,0,5
64,Café/Bakery,Agra,27.160417,78.0538001,1,4.8,262,220,1,240928,0,1,1,0,0,0,1,12
65,Quick Bites,Agra,27.20745883,77.99588218,2,4.1,160,76,1,240928,0,0,0,0,0,1,0,8
66,Casual Dining,Agra,27.1968592,78.0032925,3,4.1,213,116,1,240928,0,0,1,0,0,0,0,7
67,Casual Dining,Agra,27.19157602,78.02365076,2,3.8,326,45,0,240928,0,1,0,0,0,0,0,7
68,Casual Dining,Agra,27.2112707,78.00210223,3,3.7,277,79,1,240928,0,1,0,0,0,0,0,11
69,Café/Bakery,Agra,27.20163611,78.00791111,1,4.3,253,84,1,240928,0,0,0,0,0,1,1,7
70,Quick Bites,Agra,27.1796963,77.9589425,1,3.7,172,8,1,240928,0,1,0,0,0,1,1,7
71,Quick Bites,Agra,27.188085,77.9878,2,4.1,160,4,0,240928,0,1,0,0,0,0,0,6
72,Casual Dining,Agra,27.2085117,78.0104524,2,4.2,223,78,1,240928,0,1,1,0,0,0,0,9
73,Casual Dining,Agra,27.21321862,78.02652542,2,3.9,151,91,1,240928,0,1,1,0,0,0,1,15
74,Casual Dining,Agra,27.21576313,77.95024574,2,3.2,271,43,1,240928,0,0,0,0,0,1,0,6
75,Café/Bakery,Agra,27.15766028,78.05050302,4,4.1,208,224,0,240928,0,0,0,0,0,0,1,25
76,Casual Dining,Agra,27.16685153,78.00892141,2,4.3,198,38,1,240928,0,1,0,0,0,1,1,8
77,Quick Bites,Agra,27.17833714,77.98899964,1,3.5,215,20,1,240928,0,1,0,0,0,0,1,11
78,Casual Dining,Agra,27.1615875,78.01148047,2,3.8,170,31,0,240928,0,1,0,0,0,0,0,6
79,Casual Dining,Agra,27.1965949,78.0008925,3,3.5,232,60,1,240928,0,1,0,0,0,0,0,7
80,Casual Dining,Agra,27.16502449,78.0149138,2,4.1,225,100,1,240928,0,1,0,0,0,0,1,10
81,Café/Bakery,Agra,27.20491592,77.95828432,1,4.3,159,9,1,240928,1,1,1,0,0,1,0,9
82,Casual Dining,Agra,27.194857,77.9664342,3,3.7,265,51,1,240928,0,0,0,0,0,0,0,10
83,Quick Bites,Agra,27.19906891,77.95012806,1,3.9,135,35,1,240928,0,1,0,0,0,0,0,6
84,Quick Bites,Agra,27.2075576,78.0006057,1,3.8,203,47,1,240928,1,1,1,0,0,0,0,9
85,Café/Bakery,Agra,27.188144,77.987191,2,3.8,217,29,1,240928,0,1,1,1,0,1,1,14
86,Café/Bakery,Agra,27.21047249,77.96564396,2,4.0,230,81,0,240928,0,0,0,1,0,0,1,11
87,Quick Bites,Agra,27.2030029,78.00098,1,4.0,93,81,1,240928,0,1,0,0,0,0,0,9
88,Casual Dining,Agra,27.21421359,78.0181643,3,3.8,258,23,0,240928,1,1,1,0,0,1,0,8
89,Quick Bites,Agra,27.15906294,78.01076408,1,4.2,177,41,1,240928,0,0,0,0,0,1,0,7
90,Café/Bakery,Agra,27.19765453,77.99339209,1,4.0,152,38,1,240928,0,0,0,0,0,0,1,5
91,Quick Bites,Agra,27.18312437,77.98006151,1,4.1,254,13,0,240928,0,0,0,0,0,1,0,7
92,Café/Bakery,Agra,27.201548,78.007575,2,4.1,166,73,1,240928,0,0,0,0,0,1,1,13
93,Quick Bites,Agra,27.21333938,78.02666824,1,3.9,184,16,1,240928,0,0,0,0,0,1,0,5
94,Fine Dining,Agra,27.16113229,78.0440218,4,4.3,96,205,0,240928,0,1,0,0,0,0,0,16
95,Casual Dining,Agra,27.1579219,78.061036,3,4.3,36,132,1,240928,0,1,1,1,0,0,0,6
96,Quick Bites,Agra,27.20148403,78.00528936,2,3.9,194,44,1,240928,0,0,1,0,0,0,0,7
97,Quick Bites,Agra,27.2195984,77.9321564,1,4.0,194,4,1,240928,0,1,0,0,0,0,0,6
98,Quick Bites,Agra,27.2016999,78.0036233,1,4.3,127,109,1,240928,0,0,0,0,0,1,0,6
99,Café/Bakery,Agra,27.20146017,78.00752901,1,3.8,123,59,1,240928,0,0,0,1,0,1,1,13
100,Fine Dining,Agra,27.16791552,78.04880854,4,4.4,153,105,0,240928,0,1,1,0,0,0,0,18
101,Fine Dining,Agra,27.16814758,78.04873176,4,4.1,36,49,0,240928,0,1,0,0,0,0,0,16
102,Fine Dining,Agra,27.15737211,78.03744368,4,0.0,3,4,0,240928,0,1,1,0,0,0,0,10
103,Bar,Agra,27.15428611,78.07135,4,3.4,13,7,0,240928,0,0,0,0,0,1,0,9
104,Fine Dining,Agra,27.16248539,78.05680186,4,4.2,114,121,0,240928,0,1,0,0,0,0,0,16
105,Fine Dining,Agra,27.16224973,78.05615176,4,3.7,46,19,0,240928,0,1,0,0,0,0,0,9
106,Fine Dining,Agra,27.15436944,78.07110556,4,3.9,26,8,0,240928,0,1,0,0,0,0,0,9
107,Fine Dining,Agra,27.15434722,78.07115833,4,4.2,140,53,0,240928,0,1,0,0,0,0,0,6
108,Fine Dining,Agra,27.15865306,78.0539443,4,4.3,46,86,0,240928,0,1,1,0,0,0,0,18
109,Casual Dining,Agra,27.16265154,78.05640455,4,4.1,37,48,0,240928,0,1,0,0,0,0,0,16
110,Fine Dining,Agra,0.0,0.0,4,3.9,20,26,0,240928,0,1,1,0,0,0,0,8
111,Fine Dining,Agra,27.16795787,78.04876931,4,3.8,19,18,0,240928,0,0,0,0,0,1,0,16
112,Fine Dining,Agra,0.0,0.0,4,3.9,22,8,0,240928,0,1,0,0,0,0,0,7
113,Fine Dining,Agra,27.15859369,78.02540962,4,3.3,6,5,0,240928,0,0,0,0,0,1,0,6
114,Fine Dining,Agra,27.15839532,78.02521247,4,4.2,154,68,0,240928,0,1,0,0,0,0,0,7
115,Fine Dining,Agra,27.16109679,78.0440037,4,3.9,104,60,0,240928,0,1,1,0,0,0,0,19
116,Casual Dining,Agra,27.13853943,78.09259928,4,4.6,40,162,0,240928,0,1,0,0,0,0,0,8
117,Fine Dining,Agra,27.15436944,78.07110556,4,4.1,90,2,0,240928,0,0,1,0,0,0,0,6
118,Bar,Agra,27.16272015,78.05641226,4,3.9,19,13,0,240928,0,0,0,0,0,1,0,12
119,Fine Dining,Agra,0.0,0.0,4,4.5,182,388,0,240928,0,1,0,1,0,1,1,15
120,Fine Dining,Agra,27.16080237,78.03044781,4,3.8,36,62,0,240928,0,1,1,1,0,1,0,8
121,Fine Dining,Agra,27.15956944,78.05992222,4,4.0,57,26,0,240928,0,1,1,0,0,0,0,11
122,Fine Dining,Agra,27.15436111,78.07115278,4,4.0,55,16,0,240928,0,1,0,0,0,0,0,7
123,Fine Dining,Agra,27.16292598,78.03683516,4,3.5,13,21,0,240928,0,1,1,0,0,0,0,20
124,Fine Dining,Agra,27.16132201,78.0404092,4,3.8,21,8,0,240928,0,1,0,0,0,0,0,11
125,Fine Dining,Agra,27.160934,78.044095,4,3.6,13,15,0,240928,0,0,0,0,0,1,0,8
126,Bar,Agra,27.16129516,78.04041591,4,3.3,6,8,0,240928,0,0,0,0,0,1,0,15
127,Fine Dining,Agra,27.160934,78.044095,4,3.3,8,3,0,240928,0,0,0,0,0,1,0,9
128,Bar,Agra,27.16122655,78.03536396,4,0.0,2,5,0,240928,0,0,0,0,0,1,0,15
129,Bar,Agra,27.15955833,78.05992222,4,0.0,3,0,0,240928,0,0,0,0,0,1,0,8
130,Fine Dining,Agra,27.16125937,78.0353462,4,3.6,21,35,0,240928,0,1,1,0,0,0,0,18
131,Fine Dining,Agra,27.15952778,78.05988333,4,3.4,7,11,0,240928,0,0,0,1,0,0,0,8
132,Bar,Agra,27.1584332,78.02523997,4,0.0,2,8,0,240928,0,0,0,0,0,1,0,6
133,Casual Dining,Agra,0.0,0.0,4,4.1,59,27,0,240928,1,1,1,0,0,0,0,8
134,Café/Bakery,Agra,27.2030483,77.9988128,4,4.1,67,43,1,240928,0,0,0,0,0,0,1,6
135,Casual Dining,Agra,0.0,0.0,4,4.2,185,133,0,240928,0,1,1,0,0,0,0,8
136,Casual Dining,Agra,27.15958468,78.04370597,4,3.9,126,66,1,240928,0,1,1,0,0,0,0,15
137,Café/Bakery,Agra,27.16273686,78.03703766,4,3.7,45,38,0,240928,0,0,1,0,0,0,1,20
138,Fine Dining,Agra,27.1612531,78.03532943,4,0.0,2,62,0,240928,0,1,0,0,0,0,0,19
139,Casual Dining,Agra,27.20658068,77.97224823,4,2.8,23,10,0,240928,0,1,1,0,0,0,0,8
140,Casual Dining,Agra,27.16782991,78.00876047,4,3.6,21,10,1,240928,0,1,1,0,0,1,0,12
141,Casual Dining,Agra,27.1612307,78.0380485,4,3.4,18,14,0,240928,0,1,1,0,0,0,0,9
142,Bar,Agra,27.20172229,78.00637331,4,3.4,11,7,0,240928,0,0,0,0,0,1,0,9
143,Quick Bites,Agra,27.15785209,78.04810077,4,3.2,6,1,0,240928,0,1,1,0,0,0,0,11
144,Casual Dining,Agra,0.0,0.0,4,0.0,3,1,0,240928,0,1,1,0,0,0,0,9
145,Casual Dining,Agra,27.1577453,78.05765815,4,0.0,3,12,0,240928,0,1,1,0,0,0,0,11
146,Casual Dining,Agra,27.20157468,78.00606921,4,3.1,5,9,0,240928,0,1,1,0,0,0,0,9
147,Bar,Agra,0.0,0.0,3,4.0,65,46,0,240928,0,1,1,0,0,0,0,12
148,Casual Dining,Agra,27.1582402,78.05591069,3,3.8,34,11,1,240928,0,1,1,0,0,0,0,13
149,Casual Dining,Agra,27.15309868,78.06955207,3,3.3,9,7,0,240928,0,1,1,0,0,0,0,10
150,Café/Bakery,Agra,27.15425278,78.07138889,3,3.3,5,2,0,240928,0,0,0,0,0,0,1,5
151,Casual Dining,Agra,27.160725,78.06005,3,3.2,25,10,1,240928,0,1,1,0,0,0,0,7
152,Casual Dining,Agra,0.0,0.0,3,0.0,3,3,0,240928,0,1,0,0,0,0,0,8
153,Quick Bites,Agra,27.16192876,78.03722508,3,4.0,71,16,0,240928,0,1,0,0,0,0,0,10
154,Casual Dining,Agra,27.2037974,78.0046007,3,2.6,54,18,1,240928,0,1,0,0,0,0,0,8
155,Casual Dining,Agra,27.15806837,78.05780031,3,3.4,25,29,1,240928,0,1,1,0,0,0,0,8
156,Casual Dining,Agra,27.16207701,78.039684,3,0.0,2,10,0,240928,0,1,0,1,0,0,0,9
157,Casual Dining,Agra,0.0,0.0,3,0.0,2,0,0,240928,0,1,1,1,0,0,0,8
158,Quick Bites,Agra,27.15762,78.04787345,3,0.0,3,1,0,240928,0,1,1,0,0,0,0,18
159,Casual Dining,Agra,27.1545663,78.04972047,3,3.9,57,14,1,240928,0,1,1,0,0,0,0,10
160,Fine Dining,Agra,27.15888783,78.05797197,3,3.8,74,31,1,240928,0,1,1,0,0,0,0,21
161,Casual Dining,Agra,27.1581315,78.0592584,3,3.4,13,20,1,240928,0,1,1,0,0,0,0,13
162,Casual Dining,Agra,27.1566475,78.0503046,3,0.0,2,3,1,240928,0,1,1,0,0,0,0,6
163,Casual Dining,Agra,0.0,0.0,3,0.0,3,8,0,240928,0,1,1,0,0,0,0,10
164,Fine Dining,Agra,0.0,0.0,3,4.0,174,73,0,240928,0,1,1,0,0,0,0,15
165,Casual Dining,Agra,27.2017586,77.9519673,3,4.2,125,67,1,240928,0,1,1,0,0,0,0,9
166,Bar,Agra,27.19512452,77.9980826,3,3.9,87,9,1,240928,0,1,0,0,0,0,0,10
167,Casual Dining,Agra,27.15907576,78.01174242,3,3.7,85,36,1,240928,0,1,1,0,0,0,0,8
168,Casual Dining,Agra,27.17942488,78.00552338,3,3.9,74,27,1,240928,0,1,1,0,0,0,0,12
169,Casual Dining,Agra,27.157261,78.050843,3,4.1,62,29,0,240928,0,1,1,0,0,0,1,9
