,type,city,latitude,longitude,price_range,rating,votes,photo_count,delivery,area,chain_restaurant,indian,asian,western,middle_eastern,fast_food,others,highlights_count
3630,Casual Dining,Lucknow,26.84375309,80.94700243,1,3.8,661,116,1,240928,1,1,0,0,0,1,0,14
3631,Casual Dining,Lucknow,26.78638996,80.90784051,2,3.7,448,65,1,240928,0,1,1,0,0,1,0,9
3632,Casual Dining,Lucknow,26.859,80.98754,3,3.9,715,120,0,240928,0,1,1,0,0,0,0,10
3633,Casual Dining,Lucknow,26.88032571,80.99272683,2,4.1,418,47,1,240928,0,1,1,0,0,0,0,8
3634,Casual Dining,Lucknow,26.85615355,80.95627651,3,4.1,565,585,1,240928,0,1,1,0,0,0,0,14
3635,Casual Dining,Lucknow,26.87356247,80.98212093,2,3.9,559,84,1,240928,0,1,1,0,0,1,0,12
3636,Casual Dining,Lucknow,26.86795838,81.01002932,2,3.6,476,185,0,240928,1,1,1,0,0,0,0,14
3637,Casual Dining,Lucknow,26.85732937,80.95429804,3,4.1,413,550,0,240928,0,1,1,1,0,0,1,18
3638,Casual Dining,Lucknow,26.84377044,80.94699942,2,3.5,509,112,1,240928,1,0,0,1,0,1,0,13
3639,Casual Dining,Lucknow,26.8723635,80.98073356,2,4.1,574,110,0,240928,0,1,0,0,0,0,0,10
3640,Casual Dining,Lucknow,26.85965134,80.99399474,2,4.0,460,166,0,240928,1,1,0,0,0,0,0,11
3641,Casual Dining,Lucknow,26.85812679,80.99601377,3,4.1,635,220,0,240928,0,1,1,0,0,0,0,11
3642,Casual Dining,Lucknow,26.85135506,81.01101603,3,4.2,486,642,0,240928,0,0,0,0,0,0,0,14
3643,Casual Dining,Lucknow,26.87442886,80.95776714,2,4.0,491,117,0,240928,0,0,1,0,0,0,0,10
3644,Casual Dining,Lucknow,26.85796318,80.99739712,3,4.0,420,150,1,240928,0,1,1,0,0,1,0,13
3645,Casual Dining,Lucknow,26.87479462,80.95846049,2,3.9,414,137,1,240928,0,1,0,0,0,0,0,17
3646,Casual Dining,Lucknow,26.8525731,81.00284904,3,3.8,445,84,1,240928,0,1,1,0,0,0,0,14
3647,Casual Dining,Lucknow,26.79580131,80.89274101,3,3.8,446,78,1,240928,0,1,1,0,0,1,0,13
3648,Casual Dining,Lucknow,26.85503606,81.00091752,1,3.8,353,78,1,240928,1,1,1,0,0,0,0,13
3649,Casual Dining,Lucknow,26.8513078,80.99960625,3,4.2,513,148,1,240928,0,1,1,0,0,0,0,11
3650,Casual Dining,Lucknow,26.85191652,81.02334112,3,4.1,443,171,1,240928,0,1,1,1,0,0,0,19
3651,Casual Dining,Lucknow,26.84599547,80.98814987,3,3.9,406,201,0,240928,0,1,1,0,0,0,0,11
3652,Casual Dining,Lucknow,26.85823118,80.99334162,3,4.0,406,193,0,240928,0,1,1,0,0,0,0,15
3653,Casual Dining,Lucknow,26.8658908,80.91022063,1,3.9,235,96,1,240928,1,1,1,0,0,0,0,10
3654,Casual Dining,Lucknow,26.85339389,81.02111958,2,3.8,343,254,1,240928,0,1,1,0,0,0,0,18
3655,Casual Dining,Lucknow,26.85225752,80.94869323,3,3.9,461,135,0,240928,0,1,1,0,0,0,0,14
3656,Casual Dining,Lucknow,26.86791382,81.00680128,2,3.7,301,152,1,240928,0,1,1,0,0,1,0,15
3657,Casual Dining,Lucknow,26.88575931,80.93782861,2,4.0,354,100,0,240928,1,1,1,0,0,0,0,12
3658,Casual Dining,Lucknow,26.85727493,80.97545665,2,4.2,225,180,0,240928,1,0,0,0,0,1,1,17
3659,Casual Dining,Lucknow,26.87029719,80.96921112,2,3.7,402,45,1,240928,0,1,1,0,0,1,0,15
3660,Casual Dining,Lucknow,26.85094226,81.00828018,3,3.9,333,289,0,240928,0,1,1,1,0,1,1,13
3661,Casual Dining,Lucknow,26.87034833,81.02577321,2,3.0,318,26,1,240928,0,1,0,0,0,0,0,12
3662,Casual Dining,Lucknow,26.88244415,80.94666146,2,4.1,371,27,0,240928,0,1,1,0,0,0,0,11
3663,Café/Bakery,Lucknow,26.7971196,80.89689374,3,3.9,392,113,0,240928,0,1,1,0,0,0,1,13
3664,Casual Dining,Lucknow,26.85384437,80.94526034,3,3.5,407,129,1,240928,0,1,1,0,0,0,1,16
3665,Casual Dining,Lucknow,26.88334995,80.94587859,1,3.7,281,90,1,240928,1,1,1,0,0,0,0,11
3666,Casual Dining,Lucknow,26.89976829,80.93842573,2,4.1,193,61,1,240928,0,1,1,0,0,0,0,10
3667,Casual Dining,Lucknow,26.88593903,80.93773507,3,3.8,253,150,1,240928,0,1,1,0,0,0,0,13
3668,Casual Dining,Lucknow,26.8359007,80.9041085,2,4.0,231,304,0,240928,1,1,1,1,0,0,0,11
3669,Casual Dining,Lucknow,26.8755671,80.95787678,3,3.7,295,64,1,240928,0,1,1,0,0,0,0,13
3670,Café/Bakery,Lucknow,26.87659528,80.93739543,2,4.2,326,295,1,240928,0,0,0,0,0,0,1,7
3671,Café/Bakery,Lucknow,26.84552283,80.9476522,2,4.1,363,234,1,240928,0,0,0,0,0,1,1,9
3672,Café/Bakery,Lucknow,26.84739006,80.94696756,2,4.1,351,119,1,240928,1,0,0,0,0,0,1,10
3673,Café/Bakery,Lucknow,26.8678567,80.90796221,2,4.0,163,74,1,240928,1,0,0,0,0,0,1,6
3674,Café/Bakery,Lucknow,26.85707213,80.99513233,2,3.8,225,298,1,240928,0,0,1,1,0,1,1,19
3675,Café/Bakery,Lucknow,26.78944486,80.90846747,1,3.8,267,175,1,240928,0,0,0,0,0,1,1,10
3676,Café/Bakery,Lucknow,26.87055081,80.95651221,2,4.0,276,83,1,240928,0,0,0,0,0,1,1,9
3677,Café/Bakery,Lucknow,26.78729563,80.91280092,1,3.6,241,34,1,240928,0,0,0,0,0,0,1,6
3678,Café/Bakery,Lucknow,26.83963794,80.9161282,1,4.0,163,239,0,240928,0,0,0,0,0,0,1,11
3679,Quick Bites,Lucknow,26.85119981,80.99952243,2,3.8,264,25,1,240928,0,1,1,0,0,0,0,10
3680,Café/Bakery,Lucknow,26.80081254,80.89489684,2,4.1,182,61,1,240928,0,0,0,0,0,0,1,16
3681,Café/Bakery,Lucknow,26.84925786,80.93201961,2,3.7,179,25,0,240928,0,0,0,0,0,1,1,8
3682,Café/Bakery,Lucknow,26.88279583,80.94643213,2,3.8,159,52,1,240928,1,0,0,0,0,0,1,5
3683,Café/Bakery,Lucknow,26.89384825,80.94309781,2,4.1,125,67,1,240928,0,0,0,0,0,0,1,8
3684,Café/Bakery,Lucknow,26.81005303,80.90007383,1,3.8,171,63,1,240928,1,0,0,0,0,0,1,6
3685,Quick Bites,Lucknow,26.84351455,80.88470453,2,3.9,111,42,1,240928,1,0,0,0,0,1,1,10
3686,Café/Bakery,Lucknow,26.85850786,80.96227124,1,3.9,82,203,0,240928,0,0,0,0,0,0,1,7
3687,Café/Bakery,Lucknow,26.89363685,80.94381262,1,3.3,117,87,1,240928,0,0,0,0,0,0,1,4
3688,Café/Bakery,Lucknow,26.85821742,80.99444803,1,3.8,144,60,1,240928,1,0,0,0,0,0,1,10
3689,Café/Bakery,Lucknow,26.7925314,80.90398047,2,3.6,31,190,1,240928,0,0,0,0,0,0,1,8
3690,Café/Bakery,Lucknow,26.85783038,80.99853806,2,4.1,41,80,1,240928,0,0,0,0,0,1,1,7
3691,Café/Bakery,Lucknow,26.87288747,80.94099864,1,3.9,116,51,1,240928,1,0,0,0,0,0,1,8
3692,Café/Bakery,Lucknow,26.85301131,80.99891692,1,3.8,114,40,0,240928,0,0,0,0,0,0,1,9
3693,Café/Bakery,Lucknow,26.87615028,80.98850425,2,3.8,115,20,1,240928,0,0,0,0,0,1,1,9
3694,Café/Bakery,Lucknow,26.86592789,80.91018375,1,3.6,71,41,1,240928,1,0,0,0,0,0,1,6
3695,Café/Bakery,Lucknow,26.79500524,80.91771003,1,3.8,105,42,0,240928,0,0,0,0,0,1,1,7
3696,Café/Bakery,Lucknow,26.88247166,80.94758179,1,3.6,96,46,1,240928,0,0,0,0,0,0,1,8
3697,Café/Bakery,Lucknow,26.87276664,80.88989183,1,3.8,62,33,1,240928,0,0,0,0,0,0,1,8
3698,Café/Bakery,Lucknow,26.87361959,81.00806125,2,2.9,94,12,1,240928,0,0,0,0,0,0,1,7
3699,Café/Bakery,Lucknow,26.85198592,80.98862395,2,3.9,62,86,0,240928,0,0,0,0,0,0,1,15
3700,Café/Bakery,Lucknow,26.86792309,81.010033,2,3.7,36,95,0,240928,0,0,0,0,0,1,1,15
3701,Café/Bakery,Lucknow,26.89755059,80.9552405,2,3.9,61,22,1,240928,0,0,0,0,0,0,1,4
3702,Café/Bakery,Lucknow,26.85336129,80.9560797,2,3.5,33,87,0,240928,0,0,0,0,0,0,1,7
3703,Café/Bakery,Lucknow,26.877486,81.004064,2,3.7,27,68,1,240928,0,0,0,0,0,0,1,6
3704,Café/Bakery,Lucknow,26.79342356,80.92383418,2,2.9,44,46,1,240928,0,0,0,0,0,0,1,5
3705,Café/Bakery,Lucknow,26.7521725,80.9473352,2,3.1,4,57,1,240928,0,0,0,0,0,0,1,6
3706,Café/Bakery,Lucknow,26.871195,80.9534181,1,2.9,5,113,1,240928,0,0,0,0,0,0,1,6
3707,Café/Bakery,Lucknow,26.84378928,80.94953611,1,3.7,63,43,0,240928,1,0,0,0,0,0,1,9
3708,Café/Bakery,Lucknow,26.85245345,80.97352512,3,3.9,65,38,0,240928,0,0,0,0,0,0,1,11
3709,Café/Bakery,Lucknow,26.79448121,80.91378897,2,3.7,57,33,1,240928,1,0,0,0,0,0,1,6
3710,Café/Bakery,Lucknow,26.81478326,80.90015028,2,3.2,72,17,1,240928,1,0,0,0,0,0,1,8
3711,Café/Bakery,Lucknow,26.86340744,80.98372053,2,3.6,42,34,0,240928,0,0,0,0,0,1,1,5
3712,Café/Bakery,Lucknow,26.92911631,80.94439734,1,3.6,57,27,0,240928,0,0,0,0,0,0,1,4
3713,Café/Bakery,Lucknow,26.8562406,80.95616553,1,3.4,49,22,1,240928,0,0,0,0,0,0,1,10
3714,Café/Bakery,Lucknow,26.80310934,80.89650683,2,3.4,67,4,0,240928,1,0,0,0,0,0,1,9
3715,Café/Bakery,Lucknow,26.84915316,80.93193345,2,3.5,45,16,1,240928,0,0,0,0,0,0,1,7
3716,Café/Bakery,Lucknow,26.84756386,80.92710748,1,3.7,54,15,0,240928,1,0,0,0,0,0,1,5
3717,Café/Bakery,Lucknow,26.93009438,80.94498809,1,2.8,37,14,1,240928,0,0,0,0,0,0,1,8
3718,Café/Bakery,Lucknow,26.90640497,80.96602097,1,3.4,26,23,1,240928,0,0,0,0,0,0,1,5
3719,Quick Bites,Lucknow,26.85136373,81.01602741,1,3.6,34,21,0,240928,0,0,0,0,0,0,1,10
3720,Café/Bakery,Lucknow,26.85810833,80.95678611,2,3.2,42,16,0,240928,0,0,0,0,0,0,1,5
3721,Café/Bakery,Lucknow,26.89760372,80.95557132,2,3.4,15,20,1,240928,0,0,0,0,0,0,1,3
3722,Café/Bakery,Lucknow,26.88727272,80.99411678,2,3.6,33,22,0,240928,0,0,0,0,0,0,1,4
3723,Café/Bakery,Lucknow,26.87487447,80.95863216,2,3.5,36,27,1,240928,1,0,0,0,0,0,1,6
3724,Café/Bakery,Lucknow,26.8374783,80.91950275,1,3.4,49,5,1,240928,0,0,0,0,0,0,1,5
3725,Café/Bakery,Lucknow,26.87325742,81.00705776,2,3.4,32,93,1,240928,0,0,0,0,0,0,1,5
3726,Café/Bakery,Lucknow,26.84027485,80.9256326,1,3.3,19,22,1,240928,1,0,0,0,0,0,1,8
3727,Café/Bakery,Lucknow,26.88522553,81.0016454,2,3.4,32,11,1,240928,0,0,0,0,0,0,1,8
3728,Café/Bakery,Lucknow,26.872973,80.982228,2,3.3,9,5,1,240928,0,0,0,0,0,0,1,7
3729,Café/Bakery,Lucknow,26.8560564,81.018811,2,3.1,32,11,1,240928,0,0,0,0,0,1,1,9
3730,Café/Bakery,Lucknow,26.84787556,80.94488181,2,3.3,35,7,0,240928,0,0,0,0,0,0,1,10
3731,Café/Bakery,Lucknow,26.82023797,80.90907633,1,3.6,30,20,0,240928,0,0,0,0,0,1,1,6
3732,Café/Bakery,Lucknow,26.8938519,80.9444716,2,3.3,8,30,1,240928,0,0,0,0,0,1,1,11
3733,Café/Bakery,Lucknow,26.91411724,80.96059989,2,3.6,34,19,0,240928,1,0,0,0,0,1,1,6
3734,Café/Bakery,Lucknow,26.79633102,80.88848066,2,3.6,30,21,1,240928,1,0,0,0,0,0,1,6
3735,Café/Bakery,Lucknow,26.85779747,80.99824101,1,3.2,10,42,1,240928,0,0,0,0,0,0,1,8
3736,Café/Bakery,Lucknow,26.76346346,80.94687302,1,3.4,28,16,0,240928,0,0,0,0,0,0,1,5
3737,Café/Bakery,Lucknow,26.88925948,80.9676997,1,3.5,27,18,0,240928,1,0,0,0,0,0,1,5
3738,Café/Bakery,Lucknow,26.8661732,80.9081079,2,3.4,31,29,0,240928,1,0,0,0,0,0,1,5
3739,Café/Bakery,Lucknow,26.9356899,80.9311991,1,3.5,8,17,1,240928,1,0,0,0,0,0,1,5
3740,Café/Bakery,Lucknow,26.84048023,80.87908541,1,0.0,3,23,1,240928,1,0,0,0,0,0,1,6
3741,Café/Bakery,Lucknow,26.87108496,80.94045114,2,2.8,8,34,0,240928,0,0,0,0,0,1,1,6
3742,Café/Bakery,Lucknow,26.8961488,80.9485984,1,3.5,29,5,0,240928,0,0,0,0,0,0,1,6
3743,Café/Bakery,Lucknow,26.8738022,80.869238,2,3.1,6,18,0,240928,0,0,0,0,0,0,1,4
3744,Café/Bakery,Lucknow,26.80387334,80.99687006,1,3.3,19,7,0,240928,0,1,1,0,0,1,1,8
3745,Café/Bakery,Lucknow,26.89438857,80.94300829,2,3.2,17,3,0,240928,0,0,0,0,0,0,1,5
3746,Café/Bakery,Lucknow,26.83764015,80.93868926,2,3.5,25,7,0,240928,0,0,0,0,0,0,1,8
3747,Café/Bakery,Lucknow,26.80943122,81.00325171,1,3.2,6,17,1,240928,0,0,0,0,0,0,1,4
3748,Café/Bakery,Lucknow,26.80688048,80.89840282,1,2.9,12,16,1,240928,0,0,0,0,0,0,1,4
3749,Café/Bakery,Lucknow,26.8907241,80.9613489,1,3.3,19,6,0,240928,0,0,0,0,0,0,1,5
3750,Café/Bakery,Lucknow,26.82798,80.85591,1,3.1,13,19,0,240928,0,0,0,0,0,0,1,5
3751,Café/Bakery,Lucknow,26.87412501,81.02653295,2,3.2,16,9,1,240928,0,0,0,0,0,1,1,11
3752,Bar,Lucknow,26.8625613,81.01110723,3,3.8,174,217,0,240928,0,1,1,1,0,0,0,16
3753,Bar,Lucknow,26.85311212,80.99742863,3,3.5,206,114,0,240928,0,0,0,0,0,1,1,17
3754,Casual Dining,Lucknow,26.78856644,80.91128882,2,3.7,182,51,0,240928,0,1,1,0,0,0,0,14
3755,Bar,Lucknow,26.87188348,80.9756273,3,4.0,138,131,0,240928,0,1,0,1,0,0,0,22
3756,Bar,Lucknow,26.85176247,81.02383263,1,4.0,64,91,0,240928,0,0,0,0,0,1,0,10
3757,Bar,Lucknow,26.83439687,80.94073009,3,4.0,62,9,0,240928,0,1,0,0,0,1,0,14
3758,Casual Dining,Lucknow,26.81185651,80.90073232,3,3.5,60,57,1,240928,1,1,0,0,0,0,0,11
3759,Fine Dining,Lucknow,26.87726308,80.93456268,3,3.5,34,27,1,240928,0,1,1,1,0,0,0,9
3760,Bar,Lucknow,26.84901765,80.93882773,3,3.0,28,22,0,240928,0,1,1,0,0,0,0,15
3761,Bar,Lucknow,26.83417907,80.92415236,3,3.2,25,7,1,240928,0,1,1,0,0,0,0,18
3762,Casual Dining,Lucknow,26.83995954,80.93580723,3,3.3,23,5,0,240928,0,1,1,0,0,0,0,11
3763,Bar,Lucknow,26.8439218,80.9409906,3,2.9,17,6,0,240928,0,1,1,0,0,0,0,16
3764,Casual Dining,Lucknow,26.80773961,80.89676935,3,3.2,16,7,0,240928,0,1,0,0,0,1,0,8
3765,Bar,Lucknow,26.81191875,80.90031389,3,3.1,16,9,0,240928,0,0,1,0,0,1,1,7
3766,Bar,Lucknow,26.83729491,80.92030808,2,3.2,11,10,0,240928,0,1,1,0,0,0,0,11
3767,Casual Dining,Lucknow,26.93584453,80.93353942,3,3.2,13,1,0,240928,0,1,0,0,0,1,0,7
3768,Casual Dining,Lucknow,26.85458409,81.02219012,3,3.0,5,3,0,240928,0,1,1,0,0,0,0,17
3769,Bar,Lucknow,26.83484802,80.92414733,3,2.9,6,8,0,240928,0,1,1,0,0,0,0,9
3770,Fine Dining,Lucknow,26.795925,80.89851,2,3.1,6,1,0,240928,0,0,1,0,0,1,0,10
3771,Bar,Lucknow,26.85705556,80.95954167,3,3.1,5,4,0,240928,0,1,1,0,0,0,0,6
3772,Bar,Lucknow,26.83965978,80.93408626,3,2.9,4,2,0,240928,0,1,0,0,0,0,0,11
3773,Café/Bakery,Lucknow,26.9105072,80.9426584,2,4.2,336,151,1,240928,1,0,0,0,0,1,1,4
3774,Café/Bakery,Lucknow,26.8038491,80.89687161,2,4.2,315,103,1,240928,1,0,0,0,0,0,1,10
3775,Café/Bakery,Lucknow,26.88613131,80.94139025,1,3.8,194,58,0,240928,0,0,0,0,0,0,1,10
3776,Café/Bakery,Lucknow,26.8655298,80.90850066,1,4.0,169,14,1,240928,0,0,0,0,0,1,1,7
3777,Café/Bakery,Lucknow,26.89747464,80.95516875,2,3.8,173,31,0,240928,0,0,0,0,0,1,1,12
3778,Café/Bakery,Lucknow,26.8872067,80.937902,1,4.2,114,128,1,240928,1,0,0,0,0,1,1,8
3779,Café/Bakery,Lucknow,26.87622444,80.98888144,1,3.9,188,71,0,240928,0,0,0,0,0,0,1,8
3780,Café/Bakery,Lucknow,26.83713426,80.92310697,2,4.0,148,95,1,240928,1,0,0,0,0,0,1,6
3781,Café/Bakery,Lucknow,26.85635426,80.99770993,1,4.0,159,43,1,240928,0,0,0,0,0,0,1,9
3782,Café/Bakery,Lucknow,26.9093912,80.9422844,1,4.0,83,103,1,240928,1,0,0,0,0,0,1,3
3783,Café/Bakery,Lucknow,26.8826408,80.9484024,1,4.2,45,149,1,240928,0,0,1,0,0,1,1,9
3784,Café/Bakery,Lucknow,26.85803646,80.99508103,2,3.9,159,69,0,240928,0,0,0,0,0,1,1,14
3785,Café/Bakery,Lucknow,26.87489541,80.95848765,1,4.0,147,68,0,240928,0,0,0,0,0,0,1,8
3786,Café/Bakery,Lucknow,26.86788272,80.90788476,2,3.9,106,47,1,240928,1,0,0,0,0,1,1,6
3787,Café/Bakery,Lucknow,26.86092792,80.99375602,1,3.8,104,105,0,240928,1,0,0,0,0,1,1,10
3788,Café/Bakery,Lucknow,26.84521501,80.87746818,1,3.8,150,53,1,240928,0,0,0,0,0,1,1,7
3789,Café/Bakery,Lucknow,26.88354254,80.94512656,2,3.5,152,25,1,240928,0,0,0,0,0,0,1,5
3790,Café/Bakery,Lucknow,26.85196109,81.00626852,1,4.0,75,66,1,240928,0,0,0,0,0,0,1,5
3791,Café/Bakery,Lucknow,26.86543978,80.909077,2,4.1,139,41,0,240928,0,0,0,0,0,1,1,9
3792,Café/Bakery,Lucknow,26.85328232,80.9476522,2,4.1,152,36,0,240928,0,0,0,0,0,1,1,16
3793,Café/Bakery,Lucknow,26.84341714,80.88465851,1,3.9,131,18,1,240928,0,0,0,0,0,0,1,5
3794,Café/Bakery,Lucknow,26.85594746,80.9569484,2,3.6,68,91,0,240928,0,0,0,0,0,0,1,9
3795,Quick Bites,Lucknow,26.83699724,80.92335004,1,3.7,105,14,0,240928,0,0,0,0,0,1,1,8
3796,Café/Bakery,Lucknow,26.850096,80.943483,1,4.0,93,70,1,240928,1,0,0,0,0,1,1,10
3797,Café/Bakery,Lucknow,26.85291799,80.98894548,1,3.6,106,19,1,240928,0,0,0,0,0,0,1,11
3798,Café/Bakery,Lucknow,26.85361853,80.99705011,1,3.5,73,56,1,240928,0,0,0,0,0,0,1,11
3799,Café/Bakery,Lucknow,26.85511111,80.93635556,2,4.1,83,23,0,240928,0,0,0,0,0,0,1,6
3800,Café/Bakery,Lucknow,26.85731202,80.99918079,2,3.6,94,33,1,240928,1,0,0,0,0,1,1,15
3801,Café/Bakery,Lucknow,26.8478782,80.9425972,1,4.0,55,30,1,240928,0,0,0,0,0,1,1,11
3802,Café/Bakery,Lucknow,26.88029818,80.99289905,1,2.8,63,44,1,240928,0,0,0,0,0,0,1,8
3803,Café/Bakery,Lucknow,26.79523598,80.91797221,2,3.9,81,36,1,240928,1,0,0,0,0,0,1,10
3804,Café/Bakery,Lucknow,26.89762474,80.95523547,2,3.6,87,19,0,240928,0,1,0,0,0,0,0,8
3805,Café/Bakery,Lucknow,26.85789439,80.99838417,2,3.9,56,42,1,240928,0,0,0,0,0,1,1,10
3806,Café/Bakery,Lucknow,26.8932855,80.94401814,2,3.5,38,136,1,240928,0,0,0,0,0,1,1,7
3807,Café/Bakery,Lucknow,26.84697785,80.94641469,1,3.8,59,22,1,240928,0,0,0,0,0,1,1,8
3808,Café/Bakery,Lucknow,26.89597871,80.9425845,1,3.5,76,76,1,240928,1,0,0,0,0,1,1,7
3809,Café/Bakery,Lucknow,26.860213,81.02007,1,3.8,49,15,1,240928,0,0,0,0,0,1,1,4
3810,Café/Bakery,Lucknow,26.8083973,80.8968439,1,3.7,41,20,1,240928,0,0,0,0,0,1,1,11
3811,Café/Bakery,Lucknow,26.90155898,80.9466742,1,3.0,68,6,0,240928,0,0,0,0,0,1,1,5
3812,Café/Bakery,Lucknow,26.84070832,80.87867919,2,3.5,72,23,1,240928,1,0,0,0,0,0,1,6
3813,Café/Bakery,Lucknow,26.839465,80.933975,2,3.3,46,24,1,240928,0,0,0,0,0,0,1,6
3814,Café/Bakery,Lucknow,26.805412,80.897515,1,3.7,62,14,1,240928,0,0,0,0,0,0,1,5
3815,Café/Bakery,Lucknow,26.85418267,81.0005638,1,3.7,56,92,1,240928,1,0,0,0,0,1,1,9
3816,Café/Bakery,Lucknow,26.88449199,80.94528079,2,3.3,33,44,0,240928,0,0,0,0,0,0,1,5
3817,Café/Bakery,Lucknow,26.8754409,80.95788583,1,3.8,57,97,1,240928,1,0,0,0,0,1,1,9
3818,Café/Bakery,Lucknow,26.880333,80.992861,3,3.6,62,33,0,240928,0,0,0,1,0,0,1,21
3819,Café/Bakery,Lucknow,26.86042273,80.99424016,1,3.7,42,18,1,240928,1,0,0,0,0,1,1,11
3820,Café/Bakery,Lucknow,26.86770656,80.95644951,2,3.4,37,40,0,240928,0,0,0,0,0,0,1,5
3821,Café/Bakery,Lucknow,26.8818658,80.97957183,1,3.7,42,30,1,240928,1,0,0,0,0,0,1,5
3822,Café/Bakery,Lucknow,26.854055,81.00783,1,3.6,37,22,1,240928,0,0,0,0,0,0,1,5
3823,Café/Bakery,Lucknow,26.84230042,80.87689016,1,3.6,55,9,0,240928,0,0,0,0,0,0,1,5
3824,Café/Bakery,Lucknow,26.8791253,80.95840383,2,3.7,25,31,0,240928,0,0,0,0,0,1,1,5
3825,Café/Bakery,Lucknow,26.889891,80.955167,2,3.2,29,9,1,240928,0,0,0,0,0,1,1,7
3826,Café/Bakery,Lucknow,26.8533688,80.9450083,1,3.6,16,23,1,240928,0,0,0,0,0,0,1,8
3827,Café/Bakery,Lucknow,26.853372,80.948796,1,3.9,27,9,1,240928,1,0,0,0,0,1,1,5
3828,Quick Bites,Lucknow,26.85301789,81.00175805,2,3.3,30,15,0,240928,1,0,0,1,0,1,1,13
3829,Café/Bakery,Lucknow,26.8128706,80.90115543,1,3.4,41,7,0,240928,0,0,0,0,0,0,1,5
3830,Café/Bakery,Lucknow,26.851907,80.937709,1,3.5,34,92,0,240928,1,0,0,0,0,1,1,5
3831,Café/Bakery,Lucknow,26.87356636,80.98211356,1,3.5,22,37,1,240928,0,0,0,0,0,0,1,8
3832,Café/Bakery,Lucknow,26.79345259,80.91236271,1,3.6,33,78,1,240928,1,0,0,0,0,1,1,7
3833,Café/Bakery,Lucknow,26.87362856,80.98281428,1,3.5,25,16,0,240928,0,0,0,0,0,0,1,6
3834,Café/Bakery,Lucknow,26.88497733,80.99686269,1,3.7,33,7,0,240928,0,0,0,0,0,0,1,7
3835,Café/Bakery,Lucknow,26.851795,80.983472,2,3.3,7,13,0,240928,1,0,0,0,0,0,1,6
3836,Café/Bakery,Lucknow,26.90437457,81.00073714,2,3.1,4,5,0,240928,0,0,0,0,0,0,1,6
3837,Café/Bakery,Lucknow,26.86366676,80.91062933,2,3.4,33,3,0,240928,0,0,0,0,0,1,1,4
3838,Café/Bakery,Lucknow,26.86971937,80.99630278,1,3.0,24,8,0,240928,0,0,0,0,0,1,0,9
3839,Fine Dining,Lucknow,26.79034662,80.91048181,3,3.7,164,24,1,240928,0,1,1,0,0,0,0,11
3840,Casual Dining,Lucknow,26.8549535,80.94824933,3,3.4,58,73,0,240928,0,1,1,0,0,0,0,19
3841,Fine Dining,Lucknow,26.79738805,81.00492708,2,3.0,4,9,0,240928,0,1,1,0,0,0,0,8
3842,Fine Dining,Lucknow,26.86966589,81.01357908,3,0.0,2,0,0,240928,0,1,1,0,0,0,0,20
3843,Café/Bakery,Lucknow,26.83365432,80.9477511,2,4.2,1029,839,0,240928,1,0,0,0,0,1,1,14
3844,Café/Bakery,Lucknow,26.84306534,80.99717483,3,3.9,636,609,1,240928,0,0,1,0,0,0,1,15
3845,Café/Bakery,Lucknow,26.8503114,80.99421903,3,3.9,584,777,1,240928,0,0,0,0,0,1,1,20
3846,Café/Bakery,Lucknow,26.882559,80.947113,2,4.0,198,173,1,240928,1,0,1,0,0,0,1,12
3847,Café/Bakery,Lucknow,26.85582692,81.00100771,2,4.0,606,721,0,240928,1,0,0,1,0,0,1,14
3848,Café/Bakery,Lucknow,26.88212327,80.99612307,3,4.1,308,248,1,240928,0,0,0,0,0,1,1,12
3849,Café/Bakery,Lucknow,26.85721241,80.94312832,2,3.9,394,208,1,240928,0,1,1,0,0,0,1,16
3850,Café/Bakery,Lucknow,26.8855156,80.93802642,2,4.0,456,284,0,240928,0,1,1,0,0,0,0,12
3851,Café/Bakery,Lucknow,26.88664685,80.94064225,2,3.9,329,381,1,240928,0,0,0,0,0,0,1,9
3852,Café/Bakery,Lucknow,26.8570488,80.97446423,2,3.7,346,358,1,240928,1,0,1,1,0,0,1,13
3853,Café/Bakery,Lucknow,26.85702816,81.00166786,3,3.7,327,219,1,240928,0,1,1,0,0,0,1,15
3854,Café/Bakery,Lucknow,26.7988395,80.89704562,2,3.9,207,228,0,240928,1,0,0,0,0,0,1,11
3855,Café/Bakery,Lucknow,26.847134,80.945961,2,3.9,200,198,1,240928,1,0,0,0,0,1,1,13
3856,Café/Bakery,Lucknow,26.89405965,80.94278164,1,3.6,262,168,1,240928,0,0,0,0,0,0,1,11
3857,Café/Bakery,Lucknow,26.91038435,80.94477117,2,3.8,279,243,0,240928,0,1,1,1,0,0,1,15
3858,Café/Bakery,Lucknow,26.797573,80.902886,2,4.1,167,78,1,240928,0,1,1,1,0,0,0,15
3859,Café/Bakery,Lucknow,26.89408327,80.94131447,2,4.0,168,257,1,240928,0,0,0,0,0,1,1,10
3860,Café/Bakery,Lucknow,26.86839014,81.01592906,2,3.6,247,75,1,240928,0,1,1,1,0,0,0,10
3861,Café/Bakery,Lucknow,26.877848,80.9536831,2,3.5,128,225,1,240928,0,0,0,0,0,1,1,9
3862,Café/Bakery,Lucknow,26.857419,80.959553,2,4.1,79,147,1,240928,0,1,0,0,0,1,1,9
3863,Café/Bakery,Lucknow,26.83849037,80.93441147,2,3.1,203,72,0,240928,1,0,0,0,0,1,0,10
